"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"588","Gerardo Parra","Diamondbacks",2013,3.15,"No",2700000,2100000,2400000,"2350000","",5.02e+11,"Gerardo","Parra","parrage01","Venezuela",210,71,"L","L",2009-05-13,2012,"502000","502000 ",480000
"589","Gerardo Parra","Diamondbacks",2014,4.145,"No",5200000,4300000,4750000,"4850000","",2.35e+12,"Gerardo","Parra","parrage01","Venezuela",210,71,"L","L",2009-05-13,2013,"2350000","2350000 ",490000
"590","Gerardo Parra","Brewers",2015,5.145,"No",0,0,0,"6237000","",4.85e+12,"Gerardo","Parra","parrage01","Venezuela",210,71,"L","L",2009-05-13,2014,"4850000","4850000 ",5e+05
"591","Gerrit Cole","Pirates",2017,3.111,"No",0,0,0,"3750000","",5.48e+11,"Gerrit","Cole","colege01","USA",225,76,"R","R",2013-06-11,2016,"548000","541000 ",507500
"592","Gerrit Cole","Astros",2018,4.111,"No",0,0,0,"6750000","",3.75e+12,"Gerrit","Cole","colege01","USA",225,76,"R","R",2013-06-11,2017,"3750000 ","3750000 ",535000
"593","Gerrit Cole","Astros",2019,5.111,"No",13500000,11425000,12463000,"13500000","Player",6.75e+12,"Gerrit","Cole","colege01","USA",225,76,"R","R",2013-06-11,2018,"6750000 ","6750000 ",545000
"594","Giancarlo Stanton","Marlins",2014,3.118,"No",0,0,0,"6500000","",5.37e+11,"Giancarlo","Stanton","stantmi03","USA",245,78,"R","R",2010-06-08,2013,"537000","537000 ",490000
"595","Gio Gonzalez","Nationals",2012,2.162,"Yes",0,0,0,"Extension","",4.2e+11,"Gio","Gonzalez","gonzagi01","USA",203,72,"R","L",2008-08-06,2011,"420000","420000 ",414000
"596","Glen Perkins","Twins",2012,4.01,"No",0,0,0,"1550000","",7e+11,"Glen","Perkins","perkigl01","USA",205,72,"L","L",2006-09-21,2011,"7e+05","700000 ",414000
"597","Gordon Beckham","White Sox",2013,3.12,"No",0,0,0,"2925000","",5.2e+11,"Gordon","Beckham","beckhgo01","USA",190,72,"R","R",2009-06-04,2012,"520000","520000 ",480000
"598","Gordon Beckham","White Sox",2014,4.123,"No",0,0,0,"4175000","",2.925e+12,"Gordon","Beckham","beckhgo01","USA",190,72,"R","R",2009-06-04,2013,"2925000","2925000 ",490000
"599","Greg Bird","Yankees",2019,3.053,"No",0,0,0,"1200000","",5.82e+11,"Greg","Bird","birdgr01","USA",220,76,"L","R",2015-08-13,2018,"582000 ","582000 ",545000
"600","Greg Garcia","Padres",2019,3.083,"No",0,0,0,"910000","",5.696e+11,"Greg","Garcia","garcigr01","USA",190,72,"L","R",2014-04-28,2018,"569600 ","569600 ",545000
"601","Greg Holland","Royals",2014,3.028,"No",5200000,4100000,4650000,"4675000","",5.395e+11,"Greg","Holland","hollagr01","USA",205,70,"R","R",2010-08-02,2013,"539500","539500 ",490000
"602","Greg Holland","Royals",2015,4.028,"No",9e+06,6650000,7825000,"8250000","",4.675e+12,"Greg","Holland","hollagr01","USA",205,70,"R","R",2010-08-02,2014,"4675000","4675000 ",5e+05
"603","Gregor Blanco","Giants",2013,2.164,"Yes",0,0,0,"1350000","",5.16e+11,"Gregor","Blanco","blancgr01","Venezuela",187,70,"L","L",2008-03-30,2012,"516000","516000 ",480000
